City,Lat,Lng,Max Temp,Humidity,Wind,Cloudiness,Country,Date
cape town,-33.9258,18.4232,66.99,88,10.36,20,ZA,1611030633
punta arenas,-53.15,-70.9167,48.2,76,5.75,20,CL,1611030739
kazachinskoye,57.6953,93.2761,2.26,89,11.45,100,RU,1611030739
bluff,-46.6,168.3333,57.99,57,17.0,68,NZ,1611030739
broome,42.2506,-75.833,28.99,93,9.22,90,US,1611030739
aykhal,66.0,111.5,-51.92,74,4.27,51,RU,1611030740
erzin,36.9559,36.2,41.0,100,18.41,75,TR,1611030740
verkhnyaya inta,65.9811,60.3094,-22.95,84,2.75,96,RU,1611030740
saskylakh,71.9167,114.0833,-44.9,78,3.33,73,RU,1611030740
veraval,20.9,70.3667,77.97,28,6.11,0,IN,1611030740
east london,-33.0153,27.9116,68.0,83,11.5,0,ZA,1611030741
severo-kurilsk,50.6789,156.125,18.82,86,25.17,89,RU,1611030741
busselton,-33.65,115.3333,95.0,25,11.01,22,AU,1611030741
cabrobo,-8.5142,-39.31,73.58,74,13.94,79,BR,1611030741
barrow,71.2906,-156.7887,-2.2,78,17.27,75,US,1611030742
da nang,16.0678,108.2208,69.8,64,2.3,75,VN,1611030547
ribeira grande,38.5167,-28.7,61.9,74,27.78,99,PT,1611030743
banda aceh,5.5577,95.3222,83.39,67,8.1,77,ID,1611030485
kuito,-12.3833,16.9333,55.72,71,5.17,100,AO,1611030743
vaini,-21.2,-175.2,84.2,84,8.05,75,TO,1611030743
lagos,6.5833,3.75,77.65,88,3.2,22,NG,1611030631
saint-philippe,-21.3585,55.7679,86.0,62,5.75,0,RE,1611030744
georgetown,5.4112,100.3354,82.99,65,2.3,40,MY,1611030631
rikitea,-23.1203,-134.9692,78.8,74,14.07,66,PF,1611030744
khatanga,71.9667,102.5,-36.26,81,11.21,0,RU,1611030744
sukhobuzimskoye,56.5,93.2728,8.6,72,11.18,40,RU,1611030745
ahipara,-35.1667,173.1667,70.65,72,13.11,100,NZ,1611030745
san quintin,30.4833,-115.95,61.43,76,10.29,82,MX,1611030745
ushuaia,-54.8,-68.3,48.2,81,4.61,20,AR,1611030745
grindavik,63.8424,-22.4338,30.2,80,26.46,75,IS,1611030548
general roca,-39.0333,-67.5833,71.6,60,2.3,0,AR,1611030747
iturama,-19.7281,-50.1956,72.36,87,0.43,100,BR,1611030747
kudahuvadhoo,2.6708,72.8944,81.84,67,6.76,44,MV,1611030747
sao jose da coroa grande,-8.8978,-35.1478,76.44,82,7.85,0,BR,1611030747
sabang,5.8933,95.3214,80.98,80,17.74,86,ID,1611030748
new norfolk,-42.7826,147.0587,63.0,32,3.0,67,AU,1611030748
mar del plata,-38.0023,-57.5575,72.0,72,5.75,0,AR,1611030748
homer,59.6425,-151.5483,37.99,93,6.91,90,US,1611030748
ippy,6.2679,21.2247,66.67,25,5.86,12,CF,1611030749
wangaratta,-36.3667,146.3333,88.0,10,12.66,3,AU,1611030749
hasaki,35.7333,140.8333,48.0,29,19.57,20,JP,1611030749
russell,32.3502,-85.1999,37.4,74,3.44,1,US,1611030749
sao filipe,14.8961,-24.4956,73.17,67,9.46,100,CV,1611030750
flinders,-34.5833,150.8552,72.0,59,5.99,28,AU,1611030750
mahebourg,-20.4081,57.7,78.8,94,12.66,40,MU,1611030750
yerbogachen,61.2767,108.0108,-23.94,85,8.48,100,RU,1611030750
bar harbor,44.3876,-68.2039,24.01,63,8.05,1,US,1611030751
hobart,-42.8794,147.3294,63.0,31,16.11,75,AU,1611030678
dikson,73.5069,80.5464,-20.63,85,22.46,13,RU,1611030751
castro,-24.7911,-50.0119,64.06,97,11.56,100,BR,1611030491
avarua,-21.2078,-159.775,82.4,78,4.61,75,CK,1611030752
tarsus,36.9188,34.8784,42.8,70,12.66,75,TR,1611030752
jalu,29.0331,21.5482,48.69,55,10.87,0,LY,1611030752
saldanha,-33.0117,17.9442,62.6,88,8.05,0,ZA,1611030752
